<Date>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2019-08-16 11:37:00,1281.5,1281.55,1280.7,1280.7,9012
2019-08-16 11:38:00,1281,1281,1280,1280,11633
2019-08-16 11:39:00,1280.05,1281.4,1280.05,1281.05,17778
2019-08-16 11:40:00,1281,1281.05,1280.25,1280.25,9349
2019-08-16 11:41:00,1280.2,1280.4,1280.15,1280.4,11100
2019-08-16 11:42:00,1279.8,1280.4,1279.8,1280.05,18551
2019-08-16 11:43:00,1280.05,1280.2,1279.5,1279.5,14886
2019-08-16 11:44:00,1279.5,1279.6,1279,1279.2,19509
2019-08-16 11:45:00,1279.65,1280.4,1279.2,1279.45,10728
2019-08-16 11:46:00,1279.45,1279.95,1279.2,1279.6,13891
2019-08-16 11:47:00,1279.6,1279.65,1279.25,1279.35,8884
2019-08-16 11:48:00,1279.35,1279.75,1278.65,1279.15,19545
2019-08-16 11:49:00,1279.05,1279.15,1278.65,1278.95,10683
2019-08-16 11:50:00,1278.9,1278.95,1278.1,1278.1,11421
2019-08-16 11:51:00,1278.25,1278.25,1277.25,1277.65,14565
2019-08-16 11:52:00,1277.4,1278.7,1277.4,1278.5,12328
2019-08-16 11:53:00,1278.45,1279,1278.45,1279,9693
2019-08-16 11:54:00,1278.95,1281.05,1278.95,1280.85,20054
2019-08-16 11:55:00,1280.45,1280.6,1279.7,1279.8,14181
2019-08-16 11:56:00,1279.9,1280,1279.3,1279.95,11033
2019-08-16 11:57:00,1279.8,1280.45,1279.15,1279.3,10277
2019-08-16 11:58:00,1279.3,1279.3,1278.2,1278.95,8292
2019-08-16 11:59:00,1278.95,1279,1278.35,1278.4,5987
2019-08-16 12:00:00,1278.4,1279.05,1278.4,1279,5018
2019-08-16 12:01:00,1279,1279.25,1278.8,1279,6295
2019-08-16 12:02:00,1279,1279.5,1278,1278.75,21592
2019-08-16 12:03:00,1279,1279.2,1278.65,1279.05,9094
2019-08-16 12:04:00,1279.2,1280.65,1279.15,1280.65,20647
2019-08-16 12:05:00,1280.7,1280.7,1279.15,1279.15,7592
2019-08-16 12:06:00,1279.15,1280.65,1278.95,1280.25,15891
2019-08-16 12:07:00,1280.45,1281,1279.55,1280.9,22512
2019-08-16 12:08:00,1280.85,1281.6,1280.55,1281.55,27884
2019-08-16 12:09:00,1281.55,1282.55,1281.45,1282.35,39602
2019-08-16 12:10:00,1281.95,1282.4,1281.1,1281.1,26468
2019-08-16 12:11:00,1281.2,1281.4,1280.1,1280.55,15999
2019-08-16 12:12:00,1280.55,1281.2,1280.1,1280.55,11590
2019-08-16 12:13:00,1280.55,1280.7,1280.2,1280.25,8613
2019-08-16 12:14:00,1280.3,1280.9,1280.3,1280.4,9230
2019-08-16 12:15:00,1280.65,1281.35,1279.9,1279.9,40216
2019-08-16 12:16:00,1280,1280,1279.05,1279.05,19719
2019-08-16 12:17:00,1279,1279.85,1279,1279.75,16176
2019-08-16 12:18:00,1279.75,1280.95,1279.65,1280,10156
2019-08-16 12:19:00,1280.2,1281.4,1280.2,1281.35,11557
2019-08-16 12:20:00,1281.35,1281.45,1280.85,1280.85,12234
2019-08-16 12:21:00,1281,1281.15,1280.4,1280.45,14470
2019-08-16 12:22:00,1280.4,1280.95,1280.1,1280.65,6967
2019-08-16 12:23:00,1280.65,1280.7,1279.6,1279.8,7182
2019-08-16 12:24:00,1279.8,1279.8,1279.3,1279.3,7060
2019-08-16 12:25:00,1279.35,1280.15,1279.15,1280,10252
2019-08-16 12:26:00,1279.9,1279.9,1279.1,1279.3,8705
2019-08-16 12:27:00,1279.2,1279.4,1279,1279.15,12537
2019-08-16 12:28:00,1279.15,1279.2,1278.9,1279.15,8497
2019-08-16 12:29:00,1279.2,1279.2,1278.2,1278.4,18809
2019-08-16 12:30:00,1278.3,1278.7,1278.1,1278.5,6970
2019-08-16 12:31:00,1278.5,1278.5,1278,1278.1,9051
2019-08-16 12:32:00,1278.2,1278.55,1278.1,1278.5,8890
2019-08-16 12:33:00,1278.5,1279.1,1278.5,1278.85,10017
2019-08-16 12:34:00,1278.95,1279.2,1278.6,1278.7,8732
2019-08-16 12:35:00,1278.7,1279.25,1278.65,1278.95,22735
2019-08-16 12:36:00,1279,1279.8,1278.95,1279.55,2434
2019-08-16 12:37:00,1279.75,1279.85,1279.7,1279.8,7039
2019-08-16 12:38:00,1279.8,1279.85,1279.8,1279.85,7868
2019-08-16 12:39:00,1279.85,1279.85,1279.15,1279.15,6359
2019-08-16 12:40:00,1279.2,1279.45,1278.75,1278.85,5000
2019-08-16 12:41:00,1278.85,1278.9,1278.5,1278.5,4636
2019-08-16 12:42:00,1278.6,1279.9,1278.55,1279.7,9598
2019-08-16 12:43:00,1279.8,1281,1279.7,1280.8,21855
2019-08-16 12:44:00,1280.8,1281,1280.5,1280.5,8677
2019-08-16 12:45:00,1280.5,1281.5,1280.4,1280.6,19399
2019-08-16 12:46:00,1280.4,1280.6,1280.25,1280.25,7638
2019-08-16 12:47:00,1280.3,1281.35,1280,1281.15,15129
2019-08-16 12:48:00,1281.1,1281.85,1281,1281.7,15834
2019-08-16 12:49:00,1281.7,1281.9,1280.85,1280.85,10449
2019-08-16 12:50:00,1280.95,1281.25,1280.85,1281.15,6974
2019-08-16 12:51:00,1281.15,1281.4,1280.5,1280.5,13242
2019-08-16 12:52:00,1280.15,1280.75,1278.65,1278.7,25344
2019-08-16 12:53:00,1279,1279.8,1278.7,1279.7,11156
2019-08-16 12:54:00,1279.5,1280.15,1279.5,1280.1,4855
2019-08-16 12:55:00,1280.5,1280.5,1280,1280.1,8416
2019-08-16 12:56:00,1280.25,1280.25,1279.8,1279.9,5249
2019-08-16 12:57:00,1279.8,1280.5,1279.8,1280.15,5794
2019-08-16 12:58:00,1280,1280.85,1279.95,1280.4,12381
2019-08-16 12:59:00,1280.4,1281,1280.2,1280.95,8681
2019-08-16 13:00:00,1280.95,1281,1279.2,1279.2,12829
2019-08-16 13:01:00,1279.1,1280.15,1278.95,1280,10718
2019-08-16 13:02:00,1280,1280.15,1280,1280.15,8773
2019-08-16 13:03:00,1280.1,1280.95,1280.1,1280.85,6095
2019-08-16 13:04:00,1280.8,1281.05,1280.2,1280.2,21696
2019-08-16 13:05:00,1280.3,1281.5,1280.3,1281.1,16134
2019-08-16 13:06:00,1281.1,1281.65,1281.1,1281.65,11383
2019-08-16 13:07:00,1281.55,1283,1281.3,1282.5,44396
2019-08-16 13:08:00,1282.55,1282.6,1281.1,1281.15,12435
2019-08-16 13:09:00,1281.4,1281.8,1281.1,1281.25,7519
2019-08-16 13:10:00,1281.6,1282.5,1281.55,1281.9,11678
2019-08-16 13:11:00,1281.65,1281.65,1280.4,1280.4,9865
2019-08-16 13:12:00,1280.4,1281.9,1280.3,1281,10764
2019-08-16 13:13:00,1280.65,1284.35,1280.6,1283,96724
2019-08-16 13:14:00,1283,1283.5,1282.65,1282.7,15817
2019-08-16 13:15:00,1282.7,1282.9,1281.95,1282.05,11203
2019-08-16 13:16:00,1282.05,1283.3,1282.05,1282.5,28928
2019-08-16 13:17:00,1282.5,1284.6,1282.45,1283.1,44349
2019-08-16 13:18:00,1283.2,1283.95,1282.55,1282.55,13996
2019-08-16 13:19:00,1282.85,1283.3,1282,1282.1,15511
2019-08-16 13:20:00,1282.05,1282.5,1281,1281.5,16768
2019-08-16 13:21:00,1281.55,1282,1281.05,1281.6,9511
2019-08-16 13:22:00,1281.6,1281.85,1281.05,1281.05,5999
2019-08-16 13:23:00,1281.05,1282,1281,1281.5,11225
2019-08-16 13:24:00,1281.55,1281.85,1281.05,1281.5,6107
2019-08-16 13:25:00,1281.5,1281.9,1281.2,1281.6,5550
2019-08-16 13:26:00,1281.8,1282.15,1281.65,1282.15,17561
2019-08-16 13:27:00,1282.5,1282.5,1280.55,1280.8,11684
2019-08-16 13:28:00,1280.8,1280.95,1280.4,1280.5,9414
2019-08-16 13:29:00,1280.45,1281.7,1280.4,1281,8601
2019-08-16 13:30:00,1281.05,1281.65,1280.7,1281,7073
2019-08-16 13:31:00,1280.75,1281,1279.7,1279.75,20945
2019-08-16 13:32:00,1279.55,1279.95,1279.25,1279.95,14209
2019-08-16 13:33:00,1279.9,1281,1279.9,1280.95,9133
2019-08-16 13:34:00,1280.95,1281.1,1280,1281.1,8330
2019-08-16 13:35:00,1281.1,1281.65,1280.7,1280.7,4291
2019-08-16 13:36:00,1280.7,1280.7,1280,1280.45,7782
2019-08-16 13:37:00,1280.6,1281.45,1280.3,1280.6,3801
2019-08-16 13:38:00,1280.5,1280.85,1280.2,1280.7,6504
2019-08-16 13:39:00,1280.75,1281,1280.6,1280.6,4884
2019-08-16 13:40:00,1280.65,1281.5,1280.25,1281.2,7457
2019-08-16 13:41:00,1281.15,1281.85,1281.1,1281.5,10092
2019-08-16 13:42:00,1281.55,1281.55,1280.6,1280.95,5250
2019-08-16 13:43:00,1280.7,1281,1280.35,1280.75,6043
2019-08-16 13:44:00,1280.75,1281.4,1280.3,1281.1,6960
2019-08-16 13:45:00,1280.95,1281.2,1280.55,1280.75,3447
2019-08-16 13:46:00,1280.7,1280.75,1280.5,1280.65,3990
2019-08-16 13:47:00,1280.5,1280.6,1280.5,1280.55,3628
2019-08-16 13:48:00,1280.5,1280.55,1279,1279,22465
2019-08-16 13:49:00,1279,1280.95,1278.7,1279.05,9992
2019-08-16 13:50:00,1279,1280.1,1278,1278,33037
2019-08-16 13:51:00,1278,1278.8,1277,1278.5,36677
2019-08-16 13:52:00,1278.65,1279.45,1277.8,1279.35,14805
2019-08-16 13:53:00,1279.5,1280.45,1279.05,1279.85,11828
2019-08-16 13:54:00,1279.85,1279.85,1278.6,1278.8,6275
2019-08-16 13:55:00,1278.8,1280.55,1278.8,1280.55,15370
2019-08-16 13:56:00,1280.75,1280.9,1280.15,1280.3,4619
2019-08-16 13:57:00,1280.3,1280.3,1279.6,1279.6,5576
2019-08-16 13:58:00,1279.6,1279.75,1279.5,1279.65,6939
2019-08-16 13:59:00,1279.65,1280.6,1279.6,1280.6,7016
2019-08-16 14:00:00,1280.5,1281.65,1280.5,1281.65,15187
2019-08-16 14:01:00,1281.65,1281.85,1280.55,1280.55,8644
2019-08-16 14:02:00,1281,1281,1280.4,1280.6,4528
2019-08-16 14:03:00,1280.6,1280.6,1279.65,1279.85,5672
2019-08-16 14:04:00,1279.85,1281.6,1279.85,1281.6,10204
2019-08-16 14:05:00,1281.55,1282,1281.45,1281.45,10746
2019-08-16 14:06:00,1281.25,1283,1281,1282.6,38920
2019-08-16 14:07:00,1282.8,1282.8,1281.6,1281.7,11628
2019-08-16 14:08:00,1281.95,1284,1281.9,1283.15,43017
2019-08-16 14:09:00,1283.1,1283.95,1282.2,1283.25,16594
2019-08-16 14:10:00,1283.55,1283.7,1282.6,1282.85,12746
2019-08-16 14:11:00,1282.85,1283,1281.5,1281.5,7409
2019-08-16 14:12:00,1281.85,1282.2,1281.6,1282.05,10438
2019-08-16 14:13:00,1281.9,1282.2,1281.1,1281.3,12662
2019-08-16 14:14:00,1281.25,1282,1281,1281.6,7986
2019-08-16 14:15:00,1281.6,1281.95,1280.1,1280.35,15176
2019-08-16 14:16:00,1280.35,1281.1,1280.15,1280.2,7452
2019-08-16 14:17:00,1280.2,1281.75,1280.1,1280.7,8557
2019-08-16 14:18:00,1280.85,1281.5,1280.75,1280.9,5211
2019-08-16 14:19:00,1280.9,1280.9,1280.15,1280.2,4729
2019-08-16 14:20:00,1280.15,1280.2,1279.7,1279.9,16139
2019-08-16 14:21:00,1280.5,1281.8,1280.15,1280.6,13938
2019-08-16 14:22:00,1280.6,1281.45,1279.7,1280.85,8362
2019-08-16 14:23:00,1281,1281.45,1280.5,1280.6,4251
2019-08-16 14:24:00,1280.8,1281.4,1280.5,1280.95,8169
2019-08-16 14:25:00,1281.05,1282.4,1280.9,1282.4,13946
2019-08-16 14:26:00,1282.4,1282.5,1281.3,1282.5,14294
2019-08-16 14:27:00,1282.5,1282.5,1281.5,1281.75,6255
